producto,marca,formato,cantidad,precio,supermercado,categoria
Vino tinto crianza D.O. Valdepeñas,Señorío de Los Llanos,Botella,75 cl,2.99,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Ribera del Duero,Altos del Tamarón,Botella,75 cl,9.95,Dia,Bebidas con alcohol
Vino tinto,Federico Paternina,Botella,  75 cl,6.79,Dia,Bebidas con alcohol
Vino tinto reserva D.O. Rioja,Coto de Imaz,Botella,75 cl,7.95,Dia,Bebidas con alcohol
Vino tinto D.O. Campo de Borja,Borsao,Botella,75 cl,2.99,Dia,Bebidas con alcohol
Vino tinto roble D.O. Ribera del Duero,Protos,Botella,75 cl,9.5,Dia,Bebidas con alcohol
Vino tinto D.O. Navarra,Viña Ardanche,Botella,75 cl,1.99,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,Marqués de Caceres,Botella,75 cl,7.9,Dia,Bebidas con alcohol
Vino tinto CVC D.O. Rioja,Campo viejo,Botella,75 cl,4.27,Dia,Bebidas con alcohol
Vino tinto D.O. Toro,Bajoz,Botella,75 cl,3.69,Dia,Bebidas con alcohol
Vino tinto crianza do rioja,Antaño,Botella,75 cl,4.99,Dia,Bebidas con alcohol
Vino tinto roble D.O. Ribera del Duero,Mayor de Castilla,Botella,75 cl,6.49,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja  Rivero,Faustino,Botella,75 cl,5.75,Dia,Bebidas con alcohol
Vino tinto D.O. Rioja,Castillo de Albai,Botella,75 cl,2.78,Dia,Bebidas con alcohol
Vino tinto D.O. Cataluña,Sangre toro,Botella,75 cl,5.39,Dia,Bebidas con alcohol
Vino tinto crianza D.O. Rioja,El coto,Botella,75 cl,5.95,Dia,Bebidas con alcohol
Aguacate,Dia,Bandeja,450 g,1.69,Dia,Fruta y verduras
Kiwi,Dia,Bandeja,700 g,2.29,Dia,Fruta y verduras
Mango,Dia,Bandeja,650 g,2.59,Dia,Fruta y verduras
Guacamole,Al Punto Dia,Tarrina,200 g,1.69,Dia,Fruta y verduras
Aguacate,Dia,Granel,750 g,3.74,Dia,Fruta y verduras
Kiwi,Zespri,Bandeja,500 g,2.99,Dia,Fruta y verduras
Coco troceado bio,Dia,Bolsa,56 g,0.95,Dia,Fruta y verduras
