producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
Vino tinto D.O. Madrid,Puerta de Alcalá,Botella,75 cl,5.75,Dia,Bebidas con alcohol,160
Vino tinto crianza D.O. Rioja,Campo viejo,Botella,75 cl,5.77,Dia,Bebidas con alcohol,161
Vino tinto reserva D.O. Rioja,Señorío de Ondas,Botella,75 cl,4.1,Dia,Bebidas con alcohol,162
Vino tinto CVC D.O. Rioja  VII,Faustino,Botella,75 cl,3.99,Dia,Bebidas con alcohol,163
Vino tinto de la tierra de Extremadura   baginbox,Viña Tabora,Frasco,3 l,4.99,Dia,Bebidas con alcohol,164
Vino tinto D.O. Madrid,Puerta de Alcalá,Botella,75 cl,3.09,Dia,Bebidas con alcohol,165
Vino tinto D.O. Somontano,Viñas del Vero,Botella,75 cl,6.1,Dia,Bebidas con alcohol,166
Vino tinto crianza D.O Rioja,Señorío de Ondas,Botella,75 cl,3.25,Dia,Bebidas con alcohol,167
Vino tinto crianza D.O. Rioja,Beronia,Botella,75 cl,8.99,Dia,Bebidas con alcohol,168
Vino tinto,Don Simón,Brik,1 l,1.6,Dia,Bebidas con alcohol,169
Vino tinto crianza D.O. Rioja,Ederra,Botella,75 cl,6.99,Dia,Bebidas con alcohol,170
Vino tinto cabernet sauvignon IGP,Señorío de Ayerbe,Botella,75 cl,2.9,Dia,Bebidas con alcohol,171
Vino tinto crianza D.O. Navarra,Viña Ardanche,Botella,75 cl,2.49,Dia,Bebidas con alcohol,172
Vino tinto joven D.O. Rioja,Castillo de Haro,Botella,75 cl,3.29,Dia,Bebidas con alcohol,173
Vino tinto,Mucho mas,Botella,75 cl,6.49,Dia,Bebidas con alcohol,174
Vino tinto reserva D.O. La Mancha,Estola,Botella,75 cl,3.89,Dia,Bebidas con alcohol,175
Vino tinto de Ribera del Queiles,Garnacha salvaje moncayo,Botella,75 cl,8.09,Dia,Bebidas con alcohol,176
Vino tinto crianza D.O. Rioja,López de Haro,Botella,75 cl,7.95,Dia,Bebidas con alcohol,177
Vino tinto D.O. Toro,Matsu,Botella,75 cl,7.99,Dia,Bebidas con alcohol,178
Vino tinto roble D.O.  Valderivero,Ribera del Duero,Botella,75 cl,6.99,Dia,Bebidas con alcohol,179
Vino tinto joven D.O.  Valderivero,Ribera del Duero,Botella,75 cl,5.9,Dia,Bebidas con alcohol,180
Vino tinto mencia D.O. Monterrei,Mourama,Botella,75 cl,4.59,Dia,Bebidas con alcohol,181
Vino tinto crianza D.O. Ribera del Duero,Heredad baran,Botella,75 cl,6.29,Dia,Bebidas con alcohol,182
Vino tinto reserva D.O. Cariñena,Geraldino,Botella,75 cl,2.79,Dia,Bebidas con alcohol,183
Vino tinto crianza D.O. Cariñena,Geraldino,Botella,75 cl,2.19,Dia,Bebidas con alcohol,184
Vino tinto ecológico D.O. Jumilla,Sismicus,Botella,75 cl,2.99,Dia,Bebidas con alcohol,185
Vino tinto joven D.O. Jumilla,Sismicus,Botella,75 cl,2.59,Dia,Bebidas con alcohol,186
Vino tinto reserva D.O. La Mancha,Ribera de Algodor,Botella,75 cl,2.29,Dia,Bebidas con alcohol,187
Vino tinto tempranillo,Abstractio,Botella,75 cl,2.85,Dia,Bebidas con alcohol,188
Vino tinto reserva D.O. Utiel Requena,Mirandoli,Botella,75 cl,2.39,Dia,Bebidas con alcohol,189
